Ship_ID,Hull_Integrity,Reactor_Power,Propulsion_Type,Ship_Class
7315826530,Operational,100.0,Plasma Thruster,Hauler
7315826388,Pristine,,Ion Drive,Shuttle
7315822644,Pristine,40.0,,Shuttle
7315820454,Critical,40.0,,Explorer
7315819285,Operational,40.0,,Shuttle
7315799907,Critical,40.0,Hyperdrive,Explorer
7315785227,Operational,100.0,,Fighter
7315785215,Pristine,60.0,Ion Drive,Hauler
7315780240,Operational,40.0,Hyperdrive,Corvette
7315780175,Critical,60.0,Ion Drive,Explorer
7315759709,Operational,60.0,Ion Drive,Shuttle
7315746793,Pristine,80.0,Ion Drive,Explorer
7315741039,Pristine,60.0,,Shuttle
7315720016,Pristine,40.0,Graviton Beam,Shuttle
7315720022,Pristine,40.0,Graviton Beam,Shuttle
7315719969,Pristine,40.0,,Shuttle
7315719954,Pristine,40.0,Graviton Beam,Shuttle
7315718861,Operational,60.0,Ion Drive,Corvette
7315717381,Critical,40.0,Nuclear Pulse,Shuttle
7315717357,Operational,40.0,Ion Drive,Shuttle
7315683764,Pristine,80.0,Ion Drive,Corvette
7315670261,Critical,80.0,Hyperdrive,Shuttle
7315607166,Critical,60.0,Ion Drive,Explorer
7315603628,Critical,80.0,Ion Drive,Explorer
7315582673,Critical,40.0,Hyperdrive,Fighter
7315552491,Critical,40.0,Plasma Thruster,Corvette
7315536101,Critical,40.0,Ion Drive,Shuttle
7315518205,Critical,50.0,Ion Drive,Corvette
7315518138,Operational,60.0,,Explorer
7315506908,Critical,60.0,Plasma Thruster,Explorer
7315498556,Operational,60.0,,Explorer
7315477708,Critical,60.0,,Corvette
7315477644,Critical,80.0,Ion Drive,Corvette
7315472611,Pristine,100.0,Plasma Thruster,Hauler
7315472435,Pristine,80.0,Ion Drive,Fighter
7315472446,Pristine,60.0,Solar Sail,Shuttle
7315467479,Operational,60.0,Ion Drive,Corvette
7315467324,Operational,60.0,Plasma Hybrid,Corvette
7315467192,Pristine,100.0,,Hauler
7315455723,Pristine,60.0,Graviton Beam,Explorer
7315432897,Critical,40.0,Ion Drive,Shuttle
7315432820,Operational,120.0,Ion Drive,Corvette
7315409578,Operational,60.0,Ion Drive,Explorer
7315387122,Critical,60.0,Nuclear Pulse,Freighter
7315384686,Critical,180.0,Ion Drive,Corvette
7315384602,Critical,80.0,Ion Drive,Explorer
7315377651,Critical,60.0,Plasma Thruster,Freighter
7315366606,Operational,180.0,,Explorer
7315366439,Operational,40.0,Ion Drive,Explorer
7315359827,Operational,60.0,,Fighter
7315355524,Critical,60.0,Ion Drive,Explorer
7315354216,Operational,60.0,Ion Drive,Freighter
7315349921,Critical,60.0,Ion Drive,Fighter
7315345469,Pristine,80.0,Plasma Thruster,Freighter
7315336062,Critical,40.0,Ion Drive,Corvette
7315335997,Operational,60.0,,Corvette
7315294251,Critical,40.0,Hyperdrive,Corvette
7315329101,Operational,60.0,Graviton Beam,Corvette
7315296502,Operational,60.0,Plasma Thruster,Hauler
7315259946,Critical,240.0,,Speedster
7315258127,Operational,40.0,Ion Drive,Shuttle
7315258080,Operational,40.0,Plasma Thruster,Shuttle
7315253314,Critical,40.0,Plasma Thruster,Shuttle
7315177514,Operational,80.0,,Freighter
7315145734,Critical,40.0,,Shuttle
7315136222,Critical,60.0,Ion Drive,Corvette
7315125503,Operational,,Ion Drive,Explorer
7315110575,Operational,,Ion Drive,Corvette
7315109151,Critical,80.0,Ion Drive,Explorer
7315094967,Pristine,60.0,Graviton Beam,Explorer
7315075822,Critical,40.0,,Shuttle
7315037003,Critical,60.0,Ion Drive,Corvette
7315016146,Operational,40.0,Ion Drive,Shuttle
7314992967,Operational,120.0,Hyperdrive,Corvette
7314967754,Critical,60.0,Ion Drive,Explorer
7314956487,Pristine,80.0,Hyperdrive,Explorer
7314956410,Pristine,180.0,,Explorer
7314956329,Pristine,40.0,Hyperdrive,Explorer
7314945978,Critical,40.0,Hyperdrive,Explorer
7314938392,Critical,40.0,Ion Drive,Shuttle
7314897630,Pristine,60.0,Hyperdrive,Hauler
7314897221,Critical,40.0,Solar Sail,Corvette
7314893113,Operational,40.0,Plasma Thruster,Shuttle
7314885567,Pristine,60.0,Ion Drive,Hauler
7314885483,Pristine,60.0,Graviton Beam,Fighter
7314885435,Pristine,100.0,Plasma Thruster,Hauler
7314879552,Operational,40.0,,Explorer
7314833347,Critical,40.0,Plasma Thruster,Corvette
7314848183,Critical,60.0,Ion Drive,Corvette
7314847158,Operational,40.0,Plasma Thruster,Corvette
7314831178,Pristine,40.0,Graviton Beam,Corvette
7314812134,Pristine,80.0,Ion Drive,Shuttle
7314798728,Critical,40.0,Hyperdrive,Shuttle
7314769276,Pristine,,Graviton Beam,Shuttle
7314769271,Pristine,40.0,,Shuttle
7314769274,Pristine,40.0,Graviton Beam,Shuttle
7314765945,Critical,40.0,Plasma Thruster,Shuttle
7314759369,Operational,100.0,Solar Sail,Fighter
7314759358,Pristine,60.0,Solar Sail,Hauler
7314756426,Operational,,Ion Drive,Shuttle
7314751649,Operational,120.0,Nuclear Pulse,Shuttle
7314747301,Operational,40.0,Ion Drive,Shuttle
7314746017,Pristine,120.0,Ion Drive,Shuttle
7314744435,Critical,40.0,Nuclear Pulse,Shuttle
7314730546,Critical,80.0,Nuclear Pulse,Freighter
7314709451,Critical,240.0,Hyperdrive,Hauler
7314664527,Pristine,180.0,Plasma Thruster,Shuttle
7314664514,Pristine,100.0,Graviton Beam,Hauler
7314664519,Operational,40.0,Ion Drive,Shuttle
7314664521,Pristine,60.0,Graviton Beam,Hauler
7314664494,Pristine,60.0,Ion Drive,Corvette
7314664471,Pristine,,Plasma Thruster,Corvette
7314656633,Operational,60.0,Ion Drive,Corvette
7314654378,Critical,40.0,,Corvette
7314624461,Critical,60.0,,Explorer
7314603249,Operational,40.0,Hyperdrive,Shuttle
7314592793,Pristine,80.0,Hyperdrive,Explorer
7314590934,Operational,40.0,Ion Drive,Shuttle
7314589649,Critical,60.0,Ion Drive,Shuttle
7314584193,Operational,40.0,Plasma Thruster,Shuttle
7314583885,Pristine,120.0,,Explorer
7314570604,Critical,60.0,Ion Drive,Explorer
7314565277,Critical,60.0,Hyperdrive,Explorer
7314539852,Operational,,,Shuttle
7314521202,Critical,40.0,Hyperdrive,Shuttle
7314505215,Critical,60.0,Ion Drive,Corvette
7314488940,Operational,40.0,Ion Drive,Shuttle
7314448560,Critical,40.0,Ion Drive,Shuttle
7314431586,Critical,40.0,Ion Drive,Corvette
7314409980,Critical,40.0,Ion Drive,Shuttle
7314384262,Operational,40.0,Hyperdrive,Corvette
7314353155,Critical,60.0,,Corvette
7314348351,Operational,40.0,Nuclear Pulse,Shuttle
7314334186,Operational,50.0,,Corvette
7314331833,Operational,40.0,Hyperdrive,Shuttle
7314318598,Pristine,40.0,Ion Drive,Corvette
7314312719,Operational,60.0,Graviton Beam,Corvette
7314302125,Critical,60.0,Ion Drive,Explorer
7314293077,Pristine,80.0,Hyperdrive,Freighter
7314278078,Operational,40.0,Ion Drive,Explorer
7314277945,Pristine,60.0,Ion Drive,Hauler
7314277738,Pristine,120.0,Graviton Beam,Shuttle
7314277721,Pristine,120.0,Ion Drive,Shuttle
7314277700,Pristine,40.0,Plasma Thruster,Shuttle
7314276424,Operational,180.0,Plasma Thruster,Explorer
7314276144,Pristine,60.0,Ion Drive,Explorer
7314275948,Operational,80.0,Ion Drive,Explorer
7314275143,Operational,40.0,Ion Drive,Shuttle
7314264250,Pristine,80.0,Hyperdrive,Shuttle
7314222909,Critical,240.0,Ion Drive,Corvette
7314194164,Critical,60.0,Ion Drive,Speedster
7314166127,Critical,40.0,Ion Drive,Shuttle
7314165149,Critical,40.0,Ion Drive,Shuttle
7314139034,Critical,60.0,Ion Drive,Corvette
7314137416,Operational,40.0,Ion Drive,Shuttle
7314082833,Critical,60.0,Ion Drive,Shuttle
7314048587,Pristine,,Hyperdrive,Shuttle
7314047007,Pristine,100.0,Graviton Beam,Hauler
7314044610,Pristine,100.0,Hyperdrive,Fighter
7314042284,Critical,,Ion Drive,Shuttle
7314039798,Critical,60.0,Ion Drive,Speedster
7314022305,Critical,60.0,,Explorer
7314015968,Critical,240.0,Ion Drive,Shuttle
7313975544,Operational,,Plasma Thruster,Corvette
7313975461,Critical,40.0,Plasma Thruster,Corvette
7313975305,Pristine,40.0,Ion Drive,Shuttle
7313975157,Operational,80.0,Plasma Thruster,Hauler
7313975008,Critical,,Plasma Thruster,Corvette
7313974428,Critical,40.0,Ion Drive,Corvette
7313974227,Pristine,180.0,Graviton Beam,Explorer
7313922048,Operational,80.0,Ion Drive,Shuttle
7313898024,Operational,,Plasma Thruster,Corvette
7313897256,Operational,80.0,Ion Drive,Freighter
7313896887,Critical,60.0,Ion Drive,Explorer
7313896811,Operational,80.0,Nuclear Pulse,Freighter
7313896765,Pristine,60.0,Ion Drive,Corvette
7313889508,Critical,80.0,Nuclear Pulse,Hauler
7313884888,Operational,60.0,Ion Drive,Corvette
7313876057,Operational,60.0,Ion Drive,Explorer
7313867413,Operational,,Solar Sail,Explorer
7313860113,Pristine,180.0,Hyperdrive,Shuttle
7313856690,Operational,40.0,Solar Sail,Explorer
7313827980,Operational,40.0,,Shuttle
7313806066,Critical,60.0,Ion Drive,Explorer
7313801999,Operational,120.0,Ion Drive,Shuttle
7313798038,Pristine,40.0,Ion Drive,Shuttle
7313798048,Operational,40.0,Plasma Thruster,Shuttle
7313798006,Pristine,40.0,Plasma Thruster,Shuttle
7313794897,Operational,40.0,Ion Drive,Shuttle
7313781903,Critical,40.0,Ion Drive,Shuttle
7313781430,Operational,40.0,Ion Drive,Shuttle
7313781284,Pristine,40.0,Ion Drive,Shuttle
7313781180,Operational,120.0,Ion Drive,Shuttle
7313780314,Pristine,40.0,Ion Drive,Shuttle
7313780913,Operational,40.0,,Shuttle
7313780759,Operational,40.0,Ion Drive,Shuttle
7313780652,Operational,40.0,Ion Drive,Shuttle
7313780216,Operational,40.0,Ion Drive,Shuttle
7313780453,Critical,,Hyperdrive,Shuttle
7313780256,Pristine,60.0,Solar Sail,Explorer
7313779980,Operational,40.0,,Shuttle
7313779658,Pristine,40.0,Graviton Beam,Shuttle
7313779504,Operational,40.0,Ion Drive,Shuttle
7313779358,Operational,40.0,Ion Drive,Shuttle
7313779198,Operational,40.0,Ion Drive,Shuttle
7313779015,Pristine,40.0,Graviton Beam,Shuttle
7313778862,Operational,40.0,Ion Drive,Shuttle
7313778751,Critical,40.0,Ion Drive,Shuttle
7313778627,Operational,40.0,,Shuttle
7313778464,Operational,40.0,,Shuttle
7313778339,Operational,40.0,Hyperdrive,Shuttle
7313778192,Pristine,40.0,Hyperdrive,Shuttle
7313775964,Critical,240.0,,Fighter
7313775792,Pristine,60.0,Ion Drive,Hauler
7313775714,Operational,80.0,Hyperdrive,Shuttle
7313736542,Critical,240.0,Nuclear Pulse,Troop Transport
7313728831,Operational,40.0,,Shuttle
7313727515,Operational,60.0,,Corvette
7313703595,Critical,40.0,Solar Sail,Speedster
7313687738,Critical,60.0,Ion Drive,Shuttle
7313682999,Operational,80.0,,Shuttle
7313674968,Operational,60.0,,Shuttle
7313672942,Critical,120.0,Plasma Thruster,Explorer
7313663160,Operational,60.0,Nuclear Pulse,Freighter
7313642622,Critical,40.0,Ion Drive,Shuttle
7313599275,Critical,60.0,Nuclear Pulse,Freighter
7313594854,Critical,40.0,,Shuttle
7313589313,Critical,40.0,Ion Drive,Shuttle
7313588835,Critical,40.0,Plasma Hybrid,Explorer
7313588556,Operational,60.0,Solar Sail,Shuttle
7313588273,Operational,40.0,Ion Drive,Shuttle
7313525257,Critical,,,Freighter
7313522212,Critical,40.0,Plasma Thruster,Corvette
7313512633,Operational,40.0,Nuclear Pulse,Shuttle
7313510136,Critical,40.0,Nuclear Pulse,Shuttle
7313504676,Pristine,80.0,Ion Drive,Shuttle
7313504333,Critical,40.0,Ion Drive,Shuttle
7313503957,Pristine,80.0,Ion Drive,Shuttle
7313502152,Operational,40.0,Ion Drive,Shuttle
7313501638,Pristine,60.0,Ion Drive,Shuttle
7313500101,Critical,40.0,Ion Drive,Shuttle
7313499039,Pristine,60.0,Ion Drive,Shuttle
7313496844,Operational,40.0,Ion Drive,Shuttle
7313494428,Critical,120.0,Ion Drive,Shuttle
7313489428,Operational,,Ion Drive,Shuttle
7313484951,Critical,40.0,Ion Drive,Shuttle
7313478091,Operational,60.0,Nuclear Pulse,Freighter
7313467803,Critical,40.0,Ion Drive,Shuttle
7313451606,Operational,80.0,Ion Drive,Hauler
7313451582,Operational,80.0,Solar Sail,Hauler
7313444620,Critical,40.0,Ion Drive,Corvette
7313427277,Pristine,40.0,Hyperdrive,Shuttle
7313419020,Pristine,60.0,,Explorer
7313418727,Operational,80.0,Ion Drive,Explorer
7313375333,Critical,240.0,Ion Drive,Hauler
7313376590,Operational,80.0,Nuclear Pulse,Hauler
7313375192,Operational,60.0,Solar Sail,Hauler
7313361936,Critical,60.0,Ion Drive,Corvette
7313346134,Critical,60.0,Ion Drive,Corvette
7313343182,Pristine,100.0,Ion Drive,Hauler
7313285659,Critical,60.0,Plasma Thruster,Explorer
7313283007,Operational,40.0,Ion Drive,Shuttle
7313282988,Pristine,40.0,Plasma Thruster,Shuttle
7313282991,Operational,40.0,Ion Drive,Shuttle
7313280464,Operational,40.0,Ion Drive,Shuttle
7313272909,Operational,80.0,Hyperdrive,Freighter
7313267024,Pristine,40.0,Solar Sail,Shuttle
7313260486,Critical,60.0,Ion Drive,Corvette
7313260158,Critical,60.0,Hyperdrive,Explorer
7313259831,Critical,40.0,Solar Sail,Shuttle
7313253350,Operational,60.0,Hyperdrive,Freighter
7313224965,Operational,40.0,Nuclear Pulse,Explorer
7313219085,Operational,120.0,Ion Drive,Corvette
7313210683,Operational,120.0,Ion Drive,Corvette
7313210657,Operational,80.0,Ion Drive,Explorer
7313210643,Operational,40.0,Ion Drive,Corvette
7313210587,Pristine,40.0,,Corvette
7313175430,Operational,80.0,Ion Drive,Explorer
7313167064,Critical,40.0,Hyperdrive,Freighter
7313161057,Critical,80.0,Ion Drive,Speedster
7313145810,Critical,,Ion Drive,Corvette
7313137419,Critical,40.0,Solar Sail,Corvette
7313079270,Critical,40.0,Solar Sail,Explorer
7313029336,Pristine,60.0,Graviton Beam,Explorer
7312985712,Operational,40.0,Hyperdrive,Shuttle
7312938924,Pristine,60.0,Hyperdrive,Hauler
7312932052,Critical,60.0,Ion Drive,Explorer
7312912319,Critical,60.0,,Explorer
7312908147,Operational,40.0,,Shuttle
7312892348,Critical,300.0,Hyperdrive,Hauler
7312879695,Critical,60.0,Nuclear Pulse,Freighter
7312876423,Pristine,60.0,Ion Drive,Explorer
7312874716,Critical,40.0,Nuclear Pulse,Corvette
7312851442,Pristine,100.0,Hyperdrive,Hauler
7312844294,Critical,40.0,,Fighter
7312842481,Operational,40.0,Solar Sail,Fighter
7312807755,Critical,60.0,Plasma Thruster,Explorer
7312805374,Operational,80.0,,Hauler
7312806049,Pristine,40.0,Ion Drive,Corvette
7312775073,Operational,80.0,Ion Drive,Hauler
7312760013,Pristine,40.0,Graviton Beam,Shuttle
7312759996,Pristine,120.0,Graviton Beam,Shuttle
7312759987,Pristine,40.0,,Shuttle
7312748821,Critical,240.0,,Shuttle
7312625760,Critical,80.0,Ion Drive,Corvette
7312615524,Critical,60.0,Ion Drive,Shuttle
7312600310,Critical,240.0,Hyperdrive,Shuttle
7312578462,Operational,,Plasma Thruster,Corvette
7312563837,Critical,60.0,Hyperdrive,Corvette
7312550865,Critical,40.0,Ion Drive,Corvette
7312532755,Operational,40.0,Ion Drive,Corvette
7312514213,Operational,180.0,Ion Drive,Freighter
7312513513,Operational,40.0,Ion Drive,Explorer
7312503468,Critical,40.0,Plasma Thruster,Corvette
7312493365,Critical,80.0,Ion Drive,Corvette
7312471541,Critical,,Hyperdrive,Corvette
7312448828,Critical,60.0,Ion Drive,Corvette
7312437455,Operational,100.0,,Hauler
